topics,solutions
What kind of advertising do you like?,"<h5>Section 1: WH-questions and Suggestions</h5>

<p><b>What</b> kind of advertising catches your interest? (Visual effects, humor, storytelling, usage of celebrities, etc.)</p>

<p><b>Why</b> do you like the advertising? (Captivates attention, makes you laugh, engages emotionally, interesting play of words, etc.)</p>

<p><b>Where</b> do you often see your favourite kind of advertising? (TV, social media, billboard, radio, newspapers, etc.)</p>

<p><b>Who</b> features prominently in your favourite advertisements? (Celebrities, cartoon characters, ordinary people, animals, etc.)</p>

<h5>Section 2: Sample Answers</h5>

<p>I am a massive fan of <b>humorous</b> advertising, especially those that play on popular culture and puns. They instantly captivate my attention and make the message more memorable. I find that these types of advertising are most prevalent on <b>TV and social media platforms</b>. Invariably, renowned <b>celebrities</b> or even fictional characters are commonly featured in these advertisements, which enhances my interest even more.</p>

<p>Personally, I find <b>storytelling</b> advertising extremely appealing. These types of advertisements evoke an emotional connection which makes the brand more relatable. Whether it’s a heartwarming story or a thrilling narrative, it helps in retaining the brand in my memory. I often come across such types of advertising in <b>online videos</b> and sometimes on <b>billboards</b>. Invariably, these advertisements depict <b>ordinary people</b> navigating through their lives which adds to their relatability.</p>

<p>I have a fondness for advertisements that incorporate <b>creative visual effects</b> and animations. These types of advertising are a treat to the eyes and often deliver the brand's message in artistic and innovative ways. I frequently see such advertisements on <b>digital platforms</b> and <b>cinema commercials</b>. The characters featuring in these ads can range from <b>animated characters</b> to real-life models, adding an extra element of interest.</p>"
Do you like advertisements?,"<h5>WH-Questions and Suggestions for the Topic ""Do you like advertisements?""</h5>

<p><b>What</b> types of advertisements do you find most appealing?</p>
<p>Suggestions: humor-based ads, emotional narrative, informational ads, minimalist ads</p>
<p><b>Why</b> do you like or dislike advertisements?</p>
<p>Suggestions: interruption, persuasive, informative, entertaining</p>
<p><b>When</b> do you pay most attention to advertisements?</p>
<p>Suggestions: while watching television, browsing internet, reading magazines</p>
<p><b>How</b> do advertisements affect your purchasing decisions?</p>
<p>Suggestions: influence, persuasion, brand awareness, promotions</p>

<h5>Examples of Responses to the Question ""Do you like advertisements?""</h5>

<p>Generally, I appreciate <b>what</b> ads bring to the table. I particularly enjoy humor-based ads as they tickle my fancy while also informing me about a product or service. However, I dislike ads that disrupt my favorite shows or browsing experience without adding value. </p>

<p><b>Why</b> do I like advertisements? When done right, they can be informative and entertaining. On top of that, they add variety to the programming of television and radio. Still, admittedly, when ads are overly repetitive or misleading, they do irk me. </p>

<p><b>How</b> do advertisements affect my purchases? It's undeniable that ads can sometimes persuade me to try out new things or remind me of products I've forgotten. However, I tend to rely more heavily on customer reviews and personal research when making purchase decisions.</p>"
Do you see a lot of advertising on trains or other transport?,"<h5>WH-questions and suggestions for answering:</h5>

<p><b>What types of advertisements are commonly seen in trains?</b> - mention the product categories, brand names, digital or printed format, etc.</p>
<p><b>Where are these advertisements located within train or other transport?</b> - describe the physical locations on the transport where ads are placed.</p>
<p><b>Who are the target audiences for these advertisements?</b> - identify the main demographics and characteristics expected to see these ads.</p>
<p><b>Why do companies choose to advertise on trains and other forms of transport?</b> - possible advantages like high visibility, captive audience, etc.</p>
<p><b>How effective do you think these advertisements are?</b> - give personal opinions and observations on the attention and reactions they catch from passengers.</p>

<h5>Examples of answering this question:</h5>

<p><b>What types of advertisements are commonly seen in trains?</b> From my observations, I've seen a mix of different types of advertising on trains. These range from movies and TV shows to consumer goods, banks, and even healthcare services. Some are on printed banners while others are displayed on digital screens present inside the train cars.</p>

<p><b>Where are these advertisements located within train or other transport?</b> Advertisements on the train are typically placed where they can easily catch passengers' attention. This often includes spaces like the overhead compartments, back of the seats, on the doors, and even on the exterior of the train. Digitally however, they're displayed on screens that are mounted on the ceilings or walls of the train cars.</p>

<p><b>Who are the target audiences for these advertisements?</b> The target audience for these advertisements are generally daily commuters. This covers a broad demographic including students, working professionals, and seniors. Certain ads might target specific groups, like ads for daycare services targeting parents, or those for online learning platforms targeting students.</p>"
Is there an advertisement that made an impression on you when you were a child?,"<h5>Section 1: WH-Questions and suggestions in phrases and words</h5>
<p><strong>Which</strong> are some advertisements that you remember from childhood? (Favorite food product, toy, cartoon, movie, outing spot etc.)</p>
<p><strong>What</strong> about these advertisements stood out to you? (Characters, jingle/soundtrack, humor, emotion, animation etc.)</p>
<p><strong>When</strong> did you see these advertisements? (Early mornings, after school, weekends, during a particular TV show etc.)</p>
<p><strong>Why</strong> did these advertisements make an impression on you? (Reminder of good times, evoked strong feelings, shared experiences with friends/family etc.)</p>
<p><strong>How</strong> do these advertisements affect your choices or preferences today? (Favorite food, preferred brand, interest in a hobby/activity etc.)</p>

<h5>Section 2: 3 Examples answered the question</h5>
<p>I remember seeing the advertisement for the Lego building blocks when I was a child. It aired during my favorite Saturday morning cartoon show. The ad was full of dazzling colors and interesting characters, which instantly sparked my creativity and interest in building things. Even today, I have a soft spot for Lego and enjoy assembling it with my kids.</p>

<p>One advertisement that left a deep impression on me as a child was a cereal commercial. The ad had catchy jingle, which I found myself often humming. The funny cartoon character in the ad was endearing, and made breakfast seem like the most exciting meal of the day. As an adult, I always associate breakfast cereals with fun and energy, which I try to incorporate in my daily routine.</p>

<p>As a kid, the Barbecue Chips commercial used to air late afternoons when I came home from school. The ad was full of fun, laughter, and irresistible deliciousness. It made me associate the chips with happiness and togetherness, which is probably why it's my go-to snack even today during watching a movie or enjoying a games night with friends.</p>"
Do you think childhood is boring or adulthood is boring?,"<h5>Childhood or Adulthood: Which is Boring?</h5>

<p><b>WH-Questions and Suggestions:</b></p>
<p><b>Who</b> is more likely to feel bored - a child or an adult? Words and phrases: curiosity, capacity for wonder, responsibilities, job striking</p>
<p><b>What</b> are the activities that a child and an adult can do? Words and phrases: games, imagination, work, socializing</p>
<p><b>When</b> do children and adults experience the most boredom? Words and phrases: school hours, working hours, weekends, holidays</p>
<p><b>Where</b> do children and adults experience boredom? Words and phrases: home, school, workplace, social events</p>
<p><b>Why</b> do children and adults feel boredom? Words and phrases: lack of novelty, repetitive tasks, insufficient mental stimulation</p>

<p><b>Examples of Answers:</b></p>

<p>Adults are generally more likely to feel bored than children. Children, who naturally have a greater capacity for wonder and curiosity, are usually busy exploring the world around them. Meanwhile, adult responsibilities like maintaining a job can be mundane and monotonous, leading to more periods of boredom.</p>

<p>Independence can largely affect the boredom level. Children's activities are usually restricted to the safe boundaries set by adults, limiting their experiences and thus potentially leading to boredom. On the other hand, adults have more freedom to seek out novel experiences but may be limited by time, responsibilities, or simple lack of interest.</p>

<p>The feeling of boredom is not exclusive to a specific location for both children and adults. A child might feel bored in school due to repetitive lessons, just like an adult in a mundane work meeting. At home, both might experience boredom if they lack stimulating activities. However, this can be mitigated if they can engage in something they find interesting or challenging.</p>"
What do you do when you feel bored?,"<h5>WH-Questions and Suggested Phrases or Words</h5>

<p><b>What</b> do you like to do in your spare time? E.g., reading, painting, cooking, exercising, etc.</p>
<p><b>Where</b> can you explore new places? E.g., nearby parks, museums, cafes, neighbourhoods, etc.</p>
<p><b>Who</b> can you get in touch with? E.g., old friends, cousins, mentors, etc.</p>
<p><b>Why</b> not start a hobby you've always wanted to try? E.g., playing an instrument, learning a new language, gardening, etc.</p>
<p><b>How</b> about improving your skills? E.g., professional skills, culinary skills, artistic skills, etc.</p>

<h5>Examples Answering the WH-Questions</h5>

<p>Whenever I feel bored, I often engage in <b>what</b> I like to do in my spare time, which is reading. I have a collection of books at home, ranging from fiction genres to self-improvement ones. It always helps me to kill time and acquire new knowledge.</p>

<p>If I want to change the atmosphere a bit, I explore <b>where</b> I can experience something new. Nearby parks are ideal for a short trekking or a picnic. Sometimes, I visit museums or cafes, which not only offers a change of scenery but also enriches my cultural understanding.</p>

<p>I also try to connect with <b>who</b> I haven't talked to for a while. This could be my old friends, cousins, or mentors. It's always great to rekindle old relationships and catch up on what's going on in each other's lives.</p>"
When would you feel bored?,"<h5>WH-Questions and Suggested Phrases or Words</h5>
<p><b>Where</b> do you usually feel the most bored?</p>
<p>Suggested phrases and words: office, home, school, in traffic, at social events</p>
<p><b>When</b> do you typically find yourself feeling bored?</p>
<p>Suggested phrases and words: during meetings, in classes, on days off, while studying, during conversations</p>
<p><b>What</b> activities or situations usually bore you?</p>
<p>Suggested phrases and words: repetitive tasks, monotonous work, endless meetings, lack of stimulating discussions, lack of challenge</p>
<p><b>Who</b> you feel the most bored with?</p>
<p>Suggested phrases and words: certain friends, colleagues, family members, acquaintances</p>
<p><b>Why</b> do you feel bored in these situations?</p>
<p>Suggested phrases and words: lack of interest, lack of engagement, lack of novelty, not challenging enough, feeling of repetition</p>

<h5>Examples Answering the Question</h5>
<p>I usually feel most bored at work, especially during long, drawn-out meetings that don't pertain to my specific role within the company. I am the kind of person who thrives on actively participating and contributing to conversations, and when I can't do this, I quickly lose interest.</p>
<p>There are times when I find myself feeling bored at school, particularly during classes that involve a lot of theoretical and less practical work. Whenever the subject matter is not directly related to my field of interest or doesn't challenge me intellectually, I tend to lose focus and interest.</p>
<p>On my days off, I sometimes feel bored, especially when I haven't made any specific plans. I thrive on a healthy mix of relaxation and engagement, and if there's too much of one without the other (for example, too much idle time without any stimulating activity), I start to feel restless and bored.</p>"
Do you often feel bored?,"<h5>Section 1: WH-Questions and Suggestions</h5>
<p><b>Why do you feel bored?</b> - Lack of motivation, unchallenging tasks, repetitive routine</p>
<p><b>When do you often feel bored?</b> -Specific times of day, during certain activities, particular situations</p>
<p><b>What activities make you feel bored?</b> - Office work, household chores, long drives</p>
<p><b>Who are you with when you feel bored?</b> - Alone, with colleagues, with family</p>
<p><b>Where do you often feel bored?</b> - Workplace, home, social events</p>

<h5>Section 2: Example Answers</h5>
<p>I often feel bored when I am at work. The tasks assigned to me are repetitive and I can finish them without much thought, leaving me with hours to spend doing nothing. My productivity decreases and I end up feeling restless and unfulfilled.</p>

<p>I usually feel boredom striking me during the early afternoon. I find myself feeling less energetic which impacts my ability to concentrate on my tasks. I typically feel the monotony when I am alone at home, spending consecutive hours without any social interaction.</p>

<p>Most often, I get extremely bored during long car rides or when I am stuck in heavy traffic. These moments of complete standstill are overwhelmingly dull. I am left unengaged with my surroundings and the lack of stimulating activities make the situation even more boring.</p>"
Would you invite friends to your home?,"<h5>WH-Questions and Suggestions</h5>
<p><b>Who</b> are the friends you are planning to invite? Consider if they get along with each other, their interests and if they live nearby.</p>
<p><b>What</b> kind of event or gathering do you want to host? This could include a dinner party, game night, movie marathon, etc.</p>
<p><b>When</b> is a convenient time for you and your friends? Perhaps ask them for their preferred dates or days of the week.</p>
<p><b>Where</b> in your home would the gathering be? Suggestions could be living room, backyard, dining room, etc.</p>
<p><b>Why</b> do you want to invite them over? Celebrating a special occasion, simple get together, or just bonding time could be reasons.</p>

<h5>Examples of responses:</h5>
<p>Yes, I would invite my friends over to my home, specifically my friends from college as we have not met since graduation. I would love to host a dinner party next Saturday, as it is the best day for everyone. The gathering would take place in my backyard. The main reason I am inviting them is for us to catch up and reconnect after a long time.</p>
<p>I am planning to invite some of my friends over to a game night at my house. This includes my friends from the neighborhood who I know enjoy board games. I am thinking of doing this on a Friday night because it’s the end of the work week and we can all have a relaxing evening. We will be playing in the living room so it feels cozier. I wish to invite them over in order to spend more quality time with them and strengthen our relationships.</p>
<p>I would love to invite a few close friends for a movie marathon in my home. Going to invite my friends who share a love for classic movies like me. We usually meet up on Sundays because it is the most free day for all of us. The marathon will be held in my home theater for optimal viewing experience. My purpose for this gathering is to share and relive some of our favorite classic films together.</p>"
Do you prefer to spend time with one friend or with a group of friends?,"<h5>WH-Questions and Suggestions</h5>
<p><b>Who</b> are you more comfortable with, one friend or a group of friends? Consider your level of comfort, the depth of connection you enjoy, and how intimate or personal your conversations can get.</p>
<p><b>What</b> are your preferred activities? Reflect on whether these are more suitable for large groups or a more intimate gathering.</p>
<p><b>When</b> you're with a group, do you feel more energized or drained? Think about your levels of energy and enthusiasm in both settings.</p>
<p><b>Where</b> do you prefer to meet friends? Some places might be more suited to larger groups, while others are cozier for smaller meet-ups.</p>
<p><b>Why</b> do you prefer one over the other? This could involve elements of social anxiety, crowd management, or the simplicity of interaction.</p>

<h5>Example Answers</h5>
<p>I deeply cherish the connections I form with individuals, and thus I am more comfortable spending time with just one friend. Our conversations are often more raw, personal, and meaningful. Additionally, I find that I am more energized after these meet-ups, whereas groups tend to drain me due to the need for more social management. Due to this, the quiet corners of cozy cafes are where I find the most solace.</p>

<p>Being an extrovert, I thrive in groups. They’re exciting and dynamic, each person adding a unique flavor. Not only do I enjoy the camaraderie, but I also love the energy dynamics within the group. I’m intrigued by the collective problem-solving or brainstorming that happens, and I adore big, festive gatherings at larger, more spacious venues.</p>

<p>I relish the balance between intimacy and variety, so my preference fluctuates. When I crave deep conversations and emotional connection, I favor the company of one friend. However, if I'm in the mood for fun, exhilaration, and a lively atmosphere, a group rendezvous is my go-to. Therefore, both quiet, tranquil parks and louder, bustling restaurants are my favored locales.</p>"
